ACE,Lanzarote Airport
AGA,Al Massira Airport
AGP,Málaga Airport
ALC,Alicante International Airport
AQJ,Aqaba King Hussein International Airport
AYT,Antalya International Airport
BGI,Sir Grantley Adams International Airport
BKK,Suvarnabhumi Airport
BVC,Rabil Airport
CMB,Bandaranaike International Colombo Airport
COK,Cochin International Airport
CTA,Catania-Fontanarossa Airport
CUN,Cancún International Airport
DLM,Dalaman International Airport
DWC,Al Maktoum International Airport
FAO,Faro Airport
FNC,Madeira Airport
FUE,Fuerteventura Airport
GOI,Dabolim Airport
HER,Heraklion International Nikos Kazantzakis Airport
HKT,Phuket International Airport
HRG,Hurghada International Airport
IVL,Ivalo Airport
KEF,Keflavik International Airport
KTT,Kittilä Airport
LCA,Larnaca International Airport
LGK,Langkawi International Airport
LIR,Daniel Oduber Quiros International Airport
LPA,Gran Canaria Airport
MBJ,Sangster International Airport
MCT,Muscat International Airport
MLA,Malta International Airport
MRU,Sir Seewoosagur Ramgoolam International Airport
NAP,Naples International Airport
PFO,Paphos International Airport
PMI,Palma De Mallorca Airport
PQC,Phu Quoc International Airport
PUJ,Punta Cana International Airport
PVR,Licenciado Gustavo Díaz Ordaz International Airport
RAK,Menara Airport
RHO,Diagoras Airport
RMF,Marsa Alam International Airport
RVN,Rovaniemi Airport
SFB,Orlando Sanford International Airport
SID,Amílcar Cabral International Airport
SPC,La Palma Airport
TFS,Tenerife South Airport
UVF,Hewanorra International Airport
